tract_id,total_commuters,main_city_commuters,suburban_commuters,outside_msa_commuters
01001020100,1288,530,654,104
01001020200,1288,504,664,120
01001020300,2314,1162,986,166
01001020400,2815,1378,1168,269
01001020500,6272,3268,2368,636
01001020600,2256,960,1078,218
01001020700,1841,890,774,177
01001020801,1872,770,904,198
01001020802,6458,3002,2792,664
01001020900,3319,1432,1362,525
01001021000,1515,420,716,379
01001021100,1778,600,942,236
01007010001,1066,104,862,100
01007010002,2878,320,2320,238
01007010003,2535,168,2104,263
01007010004,3191,252,2560,379
01009050101,4865,1050,3270,545
01009050102,3902,798,2690,414
01009050200,2483,612,1596,275
01009050300,2488,488,1628,372
01009050400,1857,280,1132,445
01009050500,4048,842,2636,570
01009050601,2726,942,1542,242
01009050602,6352,2186,3518,648
01009050700,5834,1888,3414,532
01021060101,3189,276,2056,857
01021060102,3778,354,2570,854
01021060200,1709,162,1240,307
01021060300,2208,234,1688,286
01021060401,3366,384,2590,392
01021060402,4575,478,3790,307
01021060500,1585,120,1204,261
01021060600,2077,146,1576,355
01021060700,2829,248,1796,785
01051030100,4200,1632,1974,594
01051030200,3225,1582,1318,325
01051030300,1362,524,658,180
01051030400,4740,1514,2726,500
01051030500,3033,1210,1590,233
01051030600,4206,1866,1902,438
01051030701,5105,3214,1166,725
01051030702,3079,1714,888,477
01051030800,3926,1674,1630,622
01051030901,4561,2340,1494,727
01051030902,2538,1228,908,402
01051031000,4290,2026,1498,766
01051031100,3174,1626,1028,520
01051031200,1186,562,444,180
01051031300,2540,1166,960,414
01061050100,1437,182,1120,135
01061050200,808,310,430,68
01061050300,2249,358,1782,109
01061050400,2405,766,1496,143
01061050500,1706,942,668,96
01061050600,1719,1086,566,67
01067030100,1117,272,480,365
01067030200,1626,356,736,534
01067030300,1572,360,648,564
01067030400,1505,604,528,373
01067030500,4344,1874,1416,1054
01067030600,1033,372,396,265
01069040100,2357,1684,544,129
01069040201,5111,3994,920,197
01069040202,4513,3528,794,191
01069040301,2132,1670,376,86
01069040302,1854,1374,400,80
01069040400,1453,1184,200,69
01069040500,2280,1804,398,78
01069040600,1034,816,182,36
01069040700,1415,1040,286,89
01069040800,4220,3064,956,200
01069040900,3007,2352,562,93
01069041000,2596,2060,400,136
01069041100,2328,1672,410,246
01069041200,1209,788,156,265
01069041400,1548,1072,210,266
01069041500,2877,1750,364,763
01069041600,3598,1934,758,906
01069041700,819,356,234,229
01069041800,1330,548,368,414
01069041900,5023,2318,1364,1341
01069042000,3775,1890,858,1027
01069042100,5097,2804,1030,1263
01073000100,2342,880,818,644
01073000300,1681,660,468,553
01073000400,2384,932,858,594
01073000500,2075,842,746,487
01073000700,1520,666,440,414
01073000800,2256,1230,892,134
01073001100,3124,1780,1344,0
01073001200,1582,898,684,0
01073001400,1140,680,460,0
01073001500,1800,952,716,132
01073001600,1876,970,726,180
01073001902,1153,588,466,99
01073002000,2060,1048,978,34
01073002100,1941,1080,858,3
01073002200,1490,818,670,2
01073002303,1740,1018,722,0
01073002305,2512,1330,1182,0
01073002306,2860,1696,1164,0
01073002400,1949,1156,792,1
01073002700,1806,1030,776,0
01073002900,1004,556,448,0
01073003001,2221,912,612,697
01073003002,1235,766,462,7
01073003100,2269,1208,998,63
01073003200,728,342,326,60
01073003300,672,304,266,102
01073003400,1667,782,680,205
01073003500,1580,650,728,202
01073003600,3419,1632,1414,373
01073003700,3175,1498,1230,447
01073003802,3743,1782,1544,417
01073003803,2762,1358,1034,370
01073003900,1017,476,400,141
01073004000,2119,1002,772,345
01073004200,1402,736,580,86
01073004500,904,486,418,0
01073004701,2814,1612,1202,0
01073004702,2540,1434,1106,0
01073004800,1348,680,668,0
01073004901,876,488,388,0
01073004902,2286,1276,1010,0
01073005000,2108,1026,1082,0
01073005101,762,436,326,0
01073005103,1574,910,664,0
01073005104,1696,792,904,0
01073005200,2194,1218,976,0
01073005302,2582,1382,1200,0
01073005500,1220,650,570,0
01073005600,3092,1480,1612,0
01073005701,1432,758,674,0
01073005702,2008,1020,988,0
01073005800,2084,988,1096,0
01073005903,3236,1706,1530,0
01073005905,3506,1862,1644,0
01073005907,1552,902,650,0
01073005908,2234,1022,1212,0
01073005909,1964,1076,888,0
01073005910,3720,1946,1774,0
01073010001,3336,1208,1996,132
01073010002,3660,1238,2300,122
01073010100,1204,390,762,52
01073010200,1382,462,860,60
01073010301,1602,496,1056,50
01073010302,2131,680,1294,157
01073010401,2080,594,1348,138
01073010402,1283,408,780,95
01073010500,840,306,534,0
01073010602,2756,1348,1408,0
01073010603,1546,728,818,0
01073010701,1366,576,790,0
01073010702,3496,1474,2022,0
01073010703,1850,704,1146,0
01073010704,1958,756,1202,0
01073010705,2958,1272,1686,0
01073010706,2536,1088,1448,0
01073010801,3622,1664,1958,0
01073010802,2271,876,1168,227
01073010803,4905,2314,2276,315
01073010804,2313,896,1196,221
01073010805,6075,2350,3178,547
01073010900,2588,1140,1448,0
01073011001,4144,1272,2478,394
01073011002,1364,366,878,120
01073011104,6020,2808,3212,0
01073011107,7726,3034,4692,0
01073011108,3298,1228,2070,0
01073011109,3126,1208,1918,0
01073011110,4748,1874,2874,0
01073011111,6152,2452,3700,0
01073011205,1488,640,848,0
01073011206,4098,1688,2410,0
01073011207,3478,1606,1872,0
01073011208,3134,1322,1812,0
01073011209,1996,954,1042,0
01073011210,2246,964,1282,0
01073011301,2344,978,1366,0
01073011302,4482,1864,2618,0
01073011400,4440,1794,2646,0
01073011500,4005,1616,2250,139
01073011600,3000,1000,1638,362
01073011703,7354,2934,3752,668
01073011704,3346,1138,1850,358
01073011705,5796,2178,3044,574
01073011706,1782,588,1022,172
01073011802,4794,1990,2442,362
01073011803,3290,1460,1604,226
01073011804,2417,1020,1052,345
01073011901,1803,638,862,303
01073011904,1894,840,758,296
01073012001,3529,1408,1606,515
01073012002,5586,2212,2702,672
01073012103,3301,1334,1486,481
01073012104,2266,800,1106,360
01073012200,1738,576,1044,118
01073012302,2869,974,1792,103
01073012304,2036,804,1144,88
01073012305,6121,2566,3214,341
01073012401,3221,1406,1356,459
01073012402,2272,898,1000,374
01073012403,2693,1096,1222,375
01073012500,2853,1186,1514,153
01073012602,2137,944,1066,127
01073012701,2421,924,1238,259
01073012703,4063,1452,2224,387
01073012704,2000,622,1216,162
01073012802,2414,770,1436,208
01073012803,4258,1460,2392,406
01073012905,3245,1040,1898,307
01073012906,5071,1746,2836,489
01073012907,4560,1386,2622,552
01073012908,3558,966,2026,566
01073012910,2825,886,1836,103
01073012911,4046,1474,2466,106
01073012912,3689,1044,2026,619
01073012913,2377,780,1500,97
01073012914,1086,448,638,0
01073012915,4324,1670,2642,12
01073013002,974,528,446,0
01073013100,2138,1074,1064,0
01073013200,1464,686,778,0
01073013300,1556,642,914,0
01073013400,3454,1602,1852,0
01073013601,1948,750,1002,196
01073013801,1181,324,756,101
01073013901,1097,504,532,61
01073013902,1835,576,1148,111
01073014001,3223,916,1936,371
01073014002,3010,896,1786,328
01073014102,3524,894,2222,408
01073014104,2125,678,1364,83
01073014105,2726,954,1658,114
01073014203,8530,2690,5528,312
01073014204,7648,2238,5160,250
01073014301,1740,420,1278,42
01073014302,4222,1858,2236,128
01073014404,4190,1788,2386,16
01073014405,3110,1196,1908,6
01073014406,4107,1466,2628,13
01073014408,2730,862,1848,20
01073014409,2408,738,1666,4
01073014410,3673,1188,2482,3
01073014412,3384,1190,2194,0
01073014413,6460,2258,4202,0
01083020101,2578,1090,1328,160
01083020102,3393,1446,1706,241
01083020201,2288,590,1540,158
01083020202,2656,812,1666,178
01083020300,1891,436,1332,123
01083020401,2763,800,1744,219
01083020402,2736,826,1736,174
01083020500,1236,378,752,106
01083020600,1704,470,958,276
01083020700,1024,268,606,150
01083020801,4117,1712,1770,635
01083020802,5898,3176,2006,716
01083020900,2297,670,1350,277
01083021000,1255,424,676,155
01083021100,3514,1124,1902,488
01083021200,6464,4130,1622,712
01085780800,877,170,626,81
01085781000,804,140,594,70
01085781100,515,64,412,39
01085781200,722,94,544,84
01089000201,570,404,84,82
01089000202,1655,1080,168,407
01089000301,2698,1944,354,400
01089000302,2611,1922,316,373
01089000403,3682,2666,492,524
01089000501,1477,1140,164,173
01089000502,1688,1220,212,256
01089000503,1520,1072,238,210
01089000601,1291,938,154,199
01089000602,1481,1044,180,257
01089000701,2006,1450,270,286
01089000702,1605,1140,184,281
01089000901,3495,2474,468,553
01089000902,1967,1388,284,295
01089001000,2244,1868,256,120
01089001200,1417,1076,222,119
01089001301,2072,1586,340,146
01089001302,1259,1004,186,69
01089001401,1290,994,232,64
01089001402,3375,2640,530,205
01089001500,2328,1804,372,152
01089001700,1320,1058,188,74
01089001801,2400,1952,290,158
01089001901,2184,1886,194,104
01089001902,767,612,108,47
01089001903,1622,1338,186,98
01089002000,1728,1396,240,92
01089002100,1651,1238,262,151
01089002200,1034,818,146,70
01089002300,2731,2138,408,185
01089002400,2214,1732,348,134
01089002501,1509,1158,240,111
01089002502,1752,1396,258,98
01089002600,2376,1948,260,168
01089002701,1469,1166,204,99
01089002721,2464,2008,316,140
01089002722,2153,1732,312,109
01089002801,2571,2066,364,141
01089002802,4114,3390,524,200
01089002911,3202,2668,384,150
01089002912,1736,1328,320,88
01089002921,4032,3384,448,200
01089002922,3200,2588,462,150
01089003000,1578,1236,236,106
01089003100,1153,904,160,89
01089010100,6960,4446,1740,774
01089010200,4445,3020,970,455
01089010301,6209,3922,1630,657
01089010302,2801,1680,736,385
01089010401,4096,2380,1210,506
01089010402,4563,2866,1146,551
01089010501,8066,5402,1822,842
01089010502,2235,1640,470,125
01089010612,3247,2164,854,229
01089010621,5104,3764,1000,340
01089010622,4809,3738,716,355
01089010623,4189,3002,920,267
01089010624,5882,3898,1516,468
01089010701,5800,4062,1356,382
01089010702,5285,3826,1094,365
01089010800,7312,5410,1520,382
01089010901,8098,6580,1056,462
01089010902,2021,1434,492,95
01089011011,6357,4346,1668,343
01089011012,4249,2978,1036,235
01089011013,3683,2736,750,197
01089011014,5708,3950,1426,332
01089011021,2696,1858,718,120
01089011022,4550,3408,936,206
01089011100,277,154,42,81
01089011200,6031,4570,1112,349
01089011300,3499,2564,740,195
01089011400,2670,1712,822,136
01097000200,770,676,90,4
01097000401,759,580,178,1
01097000402,95,66,28,1
01097000500,975,750,214,11
01097000600,1144,832,302,10
01097000701,1212,918,292,2
01097000702,1194,904,284,6
01097000800,1991,1538,440,13
01097000901,1051,906,140,5
01097000902,1447,1222,220,5
01097000903,1151,956,192,3
01097001001,955,774,178,3
01097001002,1343,1102,230,11
01097001100,1112,826,274,12
01097001200,922,746,172,4
01097001302,1382,1096,282,4
01097001400,1237,926,216,95
01097001501,1093,706,182,205
01097001502,810,492,126,192
01097001800,1536,1056,290,190
01097001901,1543,1082,288,173
01097001902,2115,1514,378,223
01097002000,1228,936,200,92
01097002100,2705,1794,438,473
01097002200,2010,1170,348,492
01097002301,1494,970,232,292
01097002302,1389,874,228,287
01097002400,2542,1612,398,532
01097002501,3490,2244,372,874
01097002502,2128,1314,244,570
01097002600,1780,1094,284,402
01097002700,1575,958,286,331
01097002800,3948,2432,588,928
01097002900,2938,1864,380,694
01097003000,2651,1554,434,663
01097003100,3532,2478,478,576
01097003202,2023,1424,436,163
01097003203,2456,1854,404,198
01097003204,2652,1880,534,238
01097003205,1581,1270,306,5
01097003301,1850,1536,298,16
01097003302,2246,1940,286,20
01097003402,2086,1574,508,4
01097003404,1547,1158,382,7
01097003405,1370,1058,308,4
01097003406,1864,1436,422,6
01097003407,4468,3100,1346,22
01097003408,2495,1930,558,7
01097003501,2462,2064,380,18
01097003502,1527,1338,182,7
01097003602,560,396,156,8
01097003605,60,44,16,0
01097003606,1943,1562,372,9
01097003607,1811,1428,366,17
01097003608,986,734,248,4
01097003703,2065,1678,378,9
01097003704,3178,2652,518,8
01097003705,2791,2206,578,7
01097003706,2355,1872,468,15
01097003707,3015,2398,608,9
01097003708,3074,2478,584,12
01097003709,4044,3224,802,18
01097003710,2831,2270,538,23
01097003800,716,414,296,6
01097003901,1180,830,348,2
01097003902,571,432,136,3
01097004000,1122,804,308,10
01097004100,615,450,164,1
01097004800,584,390,188,6
01097004900,1722,1206,508,8
01097005000,1145,780,354,11
01097005100,972,636,332,4
01097005200,996,704,288,4
01097005300,1197,752,440,5
01097005400,2385,1296,1070,19
01097005500,1756,1054,694,8
01097005600,4417,2396,1998,23
01097005700,4360,2282,2054,24
01097005800,1743,848,880,15
01097005900,2097,1116,970,11
01097006000,2293,866,1398,29
01097006102,1676,1090,574,12
01097006103,2678,1924,738,16
01097006104,2394,1516,854,24
01097006105,3881,2364,1492,25
01097006200,2652,1558,1070,24
01097006301,5889,3468,1760,661
01097006302,4818,2718,1318,782
01097006402,3230,1862,854,514
01097006403,1425,870,346,209
01097006404,7733,4944,1624,1165
01097006405,5729,3748,1148,833
01097006406,6204,3708,1394,1102
01097006407,4491,2372,1222,897
01097006501,3463,1750,1000,713
01097006502,7685,3654,2160,1871
01097006600,2976,1274,1106,596
01097006701,3371,1462,1576,333
01097006702,2144,1154,822,168
01097006801,5484,3708,1484,292
01097006802,2052,1422,566,64
01097006901,3973,2438,1244,291
01097006902,2258,1474,638,146
01097007000,3109,2142,852,115
01097007101,2954,1934,852,168
01097007102,2123,1222,620,281
01097007103,2016,1196,752,68
01097007201,1504,756,722,26
01097007202,1407,670,734,3
01097007300,1779,600,1164,15
01097007400,1838,1442,380,16
01097007500,906,600,306,0
01097007600,1215,872,334,9
01097007700,784,600,180,4
01097990000,58,34,24,0
01101000100,455,348,48,59
01101000200,652,506,80,66
01101000300,871,644,148,79
01101000400,2304,1692,398,214
01101000500,1714,1360,210,144
