MSA,MSA_ID,largest_city,in_center_city,total_commuters_2018,main_city_commuters_2018,suburban_commuters_2018,outside_msa_commuters_2018,total_commuters_2011,main_city_commuters_2011,suburban_commuters_2011,outside_msa_commuters_2011,city_commuter_rate_2018,city_commuter_rate_2011,suburban_commuter_rate_2018,suburban_commuter_rate_2011,outside_msa_commuter_rate_2018,outside_msa_commuter_rate_2011
"Akron, OH",10420,Akron,FALSE,219445,32905,92961,93579,206017,33602,88420,83995,0.1499464558317574,0.16310304489435337,0.4236186743831028,0.42918788255338153,0.4264348697851398,0.40770907255226513
"Akron, OH",10420,Akron,TRUE,75537,24955,27017,23565,70421,26391,23699,20331,0.3303678991752386,0.37476036977606114,0.3576657796841283,0.33653313642237404,0.31196632114063305,0.2887064938015649
"Albany-Schenectady-Troy, NY",10580,Albany,FALSE,318475,66966,210643,40866,299133,63253,201523,34357,0.21027082188554833,0.21145443665526706,0.6614114137687417,0.673690298295407,0.12831776434571002,0.11485526504932589
"Albany-Schenectady-Troy, NY",10580,Albany,TRUE,39108,19068,13695,6345,36246,18125,13103,5018,0.487572875115066,0.5000551785024554,0.3501841055538509,0.36150195883683717,0.16224301933108315,0.13844286266070738
"Albuquerque, NM",10740,Albuquerque,FALSE,132204,84722,45748,1734,118700,81367,36200,1133,0.6408429396992527,0.6854844144903117,0.34604096699040876,0.3049705139005897,0.013116093310338568,0.009545071609098567
"Albuquerque, NM",10740,Albuquerque,TRUE,198301,158933,37137,2231,181386,155810,23998,1578,0.8014735175314295,0.858996835477931,0.18727590884564374,0.13230348538475958,0.011250573622926762,0.008699679137309384
"Allentown-Bethlehem-Easton, PA-NJ",10900,Allentown,FALSE,314717,22725,176062,115930,296641,25922,162295,108424,0.07220772948394907,0.08738508837281428,0.5594295827680106,0.54710913191366,0.3683626877480403,0.36550577971352577
"Allentown-Bethlehem-Easton, PA-NJ",10900,Allentown,TRUE,47615,8866,24422,14327,40742,9189,18611,12942,0.1862018271553082,0.22554121054440135,0.5129055969757429,0.4568013352314565,0.30089257586894885,0.31765745422414216
"Anchorage, AK",11260,NA,FALSE,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Anchorage, AK",11260,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Ann Arbor, MI",11460,Ann Arbor,FALSE,105269,31507,28330,45432,94738,32591,25802,36345,0.2992998888561685,0.3440119065211425,0.2691200638364571,0.2723511157085858,0.4315800473073744,0.38363697777027167
"Ann Arbor, MI",11460,Ann Arbor,TRUE,39691,22735,5636,11320,36373,22031,5135,9207,0.5727998790657832,0.6056965331427158,0.14199692625532237,0.1411761471421109,0.28520319467889443,0.2531273197151733
"Appleton, WI",11540,Appleton,FALSE,58828,14013,27715,17100,53657,15334,23644,14679,0.23820289657985994,0.2857781836479863,0.4711191949411845,0.4406508004547403,0.2906779084789556,0.2735710158972734
"Appleton, WI",11540,Appleton,TRUE,25963,10041,9230,6692,23922,11092,7503,5327,0.38674267226437625,0.4636736058857955,0.35550591225975425,0.31364434411838477,0.2577514154758695,0.22268204999581975
"Asheville, NC",11700,Asheville,FALSE,136407,31764,81100,23543,113023,27845,67273,17905,0.2328619498999318,0.2463657839554781,0.5945442682560279,0.5952151332029764,0.17259378184404026,0.15841908284154552
"Asheville, NC",11700,Asheville,TRUE,24558,11682,8760,4116,22051,10593,7662,3796,0.4756902027852431,0.4803863770350551,0.3567065721964329,0.34746723504602967,0.16760322501832398,0.17214638791891523
"Atlanta-Sandy Springs-Roswell, GA",12060,Atlanta,FALSE,2102802,347883,1704916,50003,1776715,288827,1449533,38355,0.16543783009527288,0.16256236931640697,0.8107829458027908,0.8158500378507526,0.023779224101936367,0.021587592832840383
"Atlanta-Sandy Springs-Roswell, GA",12060,Atlanta,TRUE,192867,88563,99528,4776,151463,70234,78243,2986,0.45919208573784004,0.46370400691918157,0.5160447354912971,0.5165816073892634,0.024763178770862822,0.019714385691555033
"Augusta-Richmond County, GA-SC",12260,Augusta-Richmond County consolidated government (balance),FALSE,132537,36582,69646,26309,111289,31775,56619,22895,0.2760134905724439,0.2855178858647306,0.525483449904555,0.5087564808741205,0.19850305952300112,0.2057256332611489
"Augusta-Richmond County, GA-SC",12260,Augusta-Richmond County consolidated government (balance),TRUE,65619,37131,15830,12658,55026,32913,11661,10452,0.5658574498239839,0.5981354268891069,0.2412411039485515,0.211918002398866,0.1929014462274646,0.18994657071202703
"Austin-Round Rock, TX",12420,Austin,FALSE,505286,218860,183537,102889,387401,172011,127820,87570,0.4331408350914136,0.4440127929458107,0.36323389130116407,0.329942359467322,0.20362527360742233,0.22604484758686735
"Austin-Round Rock, TX",12420,Austin,TRUE,404581,267377,66713,70491,327643,223029,53308,51306,0.6608738423208208,0.680707355261672,0.1648940508822708,0.16270147691237108,0.1742321067969084,0.15659116782595692
"Bakersfield, CA",12540,Bakersfield,FALSE,152248,34764,69687,47797,136147,33541,60872,41734,0.2283379748830855,0.24635871521223385,0.4577202984604067,0.44710496742491573,0.3139417266565078,0.3065363173628505
"Bakersfield, CA",12540,Bakersfield,TRUE,121804,52518,40543,28743,106685,49275,31825,25585,0.4311681061377295,0.46187374045086,0.3328544218580671,0.2983081032947462,0.23597747200420346,0.2398181562543938
"Baltimore-Columbia-Towson, MD",12580,Baltimore,FALSE,972851,167501,600027,205323,908787,156114,550126,202547,0.17217538965370854,0.17178282699906577,0.6167717358567756,0.6053409654847616,0.21105287448951587,0.22287620751617265
"Baltimore-Columbia-Towson, MD",12580,Baltimore,TRUE,232134,106572,97944,27618,217878,102366,89751,25761,0.45909690092791233,0.46983174069892325,0.4219287135878415,0.4119323658194035,0.11897438548424617,0.11823589348167322
"Baton Rouge, LA",12940,Baton Rouge,FALSE,232477,65635,134084,32758,218635,70287,116189,32159,0.28232900458970134,0.3214810071580488,0.5767624324126688,0.5314290941523544,0.14090856299762988,0.14708989868959682
"Baton Rouge, LA",12940,Baton Rouge,TRUE,79231,39700,29093,10438,76157,42306,24592,9259,0.5010665017480531,0.5555103273500794,0.36719213439184156,0.32291187940701443,0.13174136386010527,0.1215777932429061
"Beaumont-Port Arthur, TX",13140,Beaumont,FALSE,98563,22528,47864,28171,96278,24787,45710,25781,0.22856447145480555,0.2574523774901847,0.48561833548086,0.4747709757161553,0.2858171930643345,0.26777664679366003
"Beaumont-Port Arthur, TX",13140,Beaumont,TRUE,41381,20769,8229,12383,41178,21653,8683,10842,0.5018970058722603,0.5258390402642188,0.19885937990865374,0.21086502501335666,0.2992436142190861,0.2632959347224246
"Birmingham-Hoover, AL",13820,Birmingham,FALSE,340749,94629,218975,27145,628521,187340,400148,41033,0.2777088120581425,0.29806482201867557,0.6426284449844314,0.6366501676157201,0.07966274295742615,0.06528501036560433
"Birmingham-Hoover, AL",13820,Birmingham,TRUE,69260,31527,32670,5063,128394,64364,56372,7658,0.4551978053710655,0.5013006838325779,0.47170083742419866,0.43905478449148716,0.07310135720473578,0.05964453167593501
"Boise City, ID",14260,Boise City,FALSE,193560,77222,113020,3318,145082,60650,83075,1357,0.3989563959495764,0.418039453550406,0.5839016325687125,0.5726072152300079,0.017141971481711097,0.009353331219586165
"Boise City, ID",14260,Boise City,TRUE,90195,57762,30886,1547,76126,51474,23944,708,0.6404124397139531,0.6761684575572078,0.34243583347192197,0.31453117200430863,0.01715172681412495,0.009300370438483566
"Boston-Cambridge-Newton, MA-NH",14460,Boston,FALSE,1941919,369088,1365057,207774,1730098,313895,1237836,178367,0.19006354024034988,0.18143191888551977,0.7029422957394207,0.7154716091227202,0.10699416402022947,0.10309647199176
"Boston-Cambridge-Newton, MA-NH",14460,Boston,TRUE,303305,167527,120045,15733,247103,132887,102546,11670,0.5523384052356539,0.5377797922323889,0.3957897166218823,0.41499293816748484,0.051871878142463856,0.047227269600126263
"Boulder, CO",14500,Boulder,FALSE,99516,20969,39201,39346,91040,19030,37265,34745,0.21070983560432494,0.20902899824253077,0.3939165561316773,0.4093255711775044,0.39537360826399776,0.38164543057996486
"Boulder, CO",14500,Boulder,TRUE,27431,12100,6383,8948,24734,10965,6272,7497,0.44110677700411943,0.4433168917279858,0.2326929386460574,0.25357807067194954,0.3262002843498232,0.3031050376000647
"Bridgeport-Stamford-Norwalk, CT",14860,Bridgeport,FALSE,324580,13175,198145,113260,305571,13727,193901,97943,0.04059091749337605,0.04492245664673677,0.6104658327685009,0.6345530171384065,0.34894324973812313,0.3205245262148568
"Bridgeport-Stamford-Norwalk, CT",14860,Bridgeport,TRUE,50476,11184,22986,16306,46497,12082,21448,12967,0.22157064743640542,0.25984472116480634,0.45538473730089546,0.4612770716390305,0.3230446152626991,0.2788782071961632
