CITY,CITY_ID,CITY_population,MSA,MSA_ID,MSA_population
Birmingham,0107000,145000,"Birmingham-Hoover, AL",13820,815000
Dothan,0121184,185000,"Dothan, AL",20020,310000
Huntsville,0137000,145000,"Huntsville, AL",26620,300000
Mobile,0150000,150000,"Mobile, AL",33660,285000
Montgomery,0151000,140000,"Montgomery, AL",33860,265000
Phoenix,0455000,1050000,"Phoenix-Mesa-Scottsdale, AZ",38060,3210000
Tucson,0477000,380000,"Tucson, AZ",46060,745000
Fayetteville,0523290,48000,"Fayetteville-Springdale-Rogers, AR-MO",22220,380000
Fort Smith,0524550,53000,"Fort Smith, AR-OK",22900,285000
Little Rock,0541000,115000,"Little Rock-North Little Rock-Conway, AR",30780,490000
Bakersfield,0603526,215000,"Bakersfield, CA",12540,550000
Fresno,0627000,340000,"Fresno, CA",23420,675000
Los Angeles,0644000,3000000,"Los Angeles-Long Beach-Anaheim, CA",31080,9860000
Modesto,0648354,140000,"Modesto, CA",33700,350000
Oxnard,0654652,140000,"Oxnard-Thousand Oaks-Ventura, CA",37100,630000
Riverside,0662000,230000,"Riverside-San Bernardino-Ontario, CA",40140,3010000
Sacramento,0664000,345000,"Sacramento--Roseville--Arden-Arcade, CA",40900,1660000
Salinas,0664224,105000,"Salinas, CA",41500,320000
San Diego,0666000,935000,"San Diego-Carlsbad, CA",41740,2210000
San Francisco,0667000,595000,"San Francisco-Oakland-Hayward, CA",41860,3360000
San Jose,0668000,775000,"San Jose-Sunnyvale-Santa Clara, CA",41940,1500000
Santa Maria,0669196,66000,"Santa Maria-Santa Barbara, CA",42200,320000
Santa Rosa,0670098,115000,"Santa Rosa, CA",42220,355000
Stockton,0675000,215000,"Stockton-Lodi, CA",44700,520000
Vallejo,0681666,89000,"Vallejo-Fairfield, CA",46700,320000
Visalia,0682954,70000,"Visalia-Porterville, CA",47300,325000
Boulder,0807850,88000,"Boulder, CO",14500,250000
Colorado Springs,0816000,320000,"Colorado Springs, CO",17820,495000
Denver,0820000,460000,"Denver-Aurora-Lakewood, CO",19740,2130000
Greeley,0832155,90000,"Greeley, CO",24540,270000
Bridgeport,0908000,98000,"Bridgeport-Stamford-Norwalk, CT",14860,715000
Hartford,0937000,93000,"Hartford-West Hartford-East Hartford, CT",25540,935000
New Haven,0952000,90000,"New Haven-Milford, CT",35300,590000
Washington,1150000,495000,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,4700000
Cape Coral,1210275,88000,"Cape Coral-Fort Myers, FL",15980,455000
Deltona,1217200,50000,"Deltona-Daytona Beach-Ormond Beach, FL",19660,410000
Jacksonville,1235000,505000,"Jacksonville, FL",27260,840000
Lakeland,1238250,79000,"Lakeland-Winter Haven, FL",29460,450000
Miami,1245000,235000,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,3560000
Orlando,1253000,145000,"Orlando-Kissimmee-Sanford, FL",36740,1300000
Palm Bay,1254000,51000,"Palm Bay-Melbourne-Titusville, FL",37340,340000
