MSA,in_center_city,total_commuters,main_city_commuters,total_commuters_2011,main_city_commuters_2011,commuter_rate_2018,commuter_rate_2011,Change in Commuter Rate from 2011 to 2018,Change in Total Commuters,,,,,,
"Santa Maria-Santa Barbara, CA",TRUE,27719,12367,26407,9630,0.446156066,0.364676033,8.1%,28%,,,,,,
"Cedar Rapids, IA",FALSE,55785,31091,55121,26372,0.557336201,0.478438345,7.9%,18%,,,,,,
"Palm Bay-Melbourne-Titusville, FL",FALSE,171833,18197,150906,7298,0.105899332,0.048361231,5.8%,149%,,,,,,
"Cedar Rapids, IA",TRUE,46471,33950,44054,30217,0.730563147,0.685908204,4.5%,12%,,,,,,
"Palm Bay-Melbourne-Titusville, FL",TRUE,39919,8664,34531,6118,0.217039505,0.177174133,4.0%,42%,,,,,,
"Trenton, NJ",FALSE,126956,13252,121604,8807,0.104382621,0.072423604,3.2%,50%,,,,,,
"Dothan, AL",FALSE,24809,12114,25594,11727,0.48829054,0.458193327,3.0%,3%,,,,,,
"Peoria, IL",FALSE,98255,33094,101959,31278,0.336817465,0.306770368,3.0%,6%,,,,,,
"Lakeland-Winter Haven, FL",TRUE,41477,13798,37489,11352,0.332666297,0.302808824,3.0%,22%,,,,,,
"Shreveport-Bossier City, LA",TRUE,54414,35927,59487,37503,0.660252876,0.630440264,3.0%,-4%,,,,,Row Labels,Average of Change in Total Commuters
"Kingsport-Bristol-Bristol, TN-VA",FALSE,74165,16196,72608,13814,0.218377941,0.190254517,2.8%,17%,,,,,FALSE,0.080664831
"Seattle-Tacoma-Bellevue, WA",TRUE,345717,229793,269704,172103,0.664685277,0.638118085,2.7%,34%,,,,,TRUE,0.078798835
"New Orleans-Metairie, LA",TRUE,135688,82331,107827,62646,0.606766995,0.580986209,2.6%,31%,,,,,(blank),
"Washington-Arlington-Alexandria, DC-VA-MD-WV",TRUE,289540,193587,245205,158770,0.66860192,0.647499031,2.1%,22%,,,,,Grand Total,0.079731833
"Peoria, IL",TRUE,36407,19947,37968,20186,0.547889142,0.531658239,1.6%,-1%,,,,,,
"Boston-Cambridge-Newton, MA-NH",TRUE,303305,167527,247103,132887,0.552338405,0.537779792,1.5%,26%,,,,,,
"New York-Newark-Jersey City, NY-NJ-PA",FALSE,5064000,978515,4700498,840103,0.19322966,0.178726382,1.5%,16%,,,,,,
"San Francisco-Oakland-Hayward, CA",FALSE,1650487,276059,1367892,209241,0.167259118,0.152966024,1.4%,32%,,,,,,
"New Orleans-Metairie, LA",FALSE,318591,71277,296603,62225,0.223725717,0.209792214,1.4%,15%,,,,,,
"Cape Coral-Fort Myers, FL",TRUE,57124,12120,43953,8720,0.212170016,0.198393739,1.4%,39%,,,,,,
"Lincoln, NE",FALSE,31445,20662,24932,16039,0.657083797,0.643309803,1.4%,29%,,,,,,
"Syracuse, NY",FALSE,185574,47065,183561,44049,0.253618503,0.239969275,1.4%,7%,,,,,,
